sequence,type,date,datevalue,topic,paper1,url1,author1,status1,paper2,url2,author2,status2,paper3,url3,author3,status3
1,class,2/7/2023,19395,introduction,,,,,,,,,,,,
2,class,2/9/2023,19397,compilers,The Education of a Computer,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/PL/p243-hopper.pdf,Hopper,read,The FORTRAN Automatic Coding System,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/PL/FORTRAN-102663113.05.01.acc.pdf,Backus,review,The Night Watch,http://scholar.harvard.edu/files/mickens/files/thenightwatch.pdf,Mickens,read
3,class,2/14/2023,19402,programming languages,Recursive Functions of Symbolic Expressions and Their Computation by Machine,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/PL/LISP.pdf,McCarthy,review,Algol-60 Translation,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/PL/Algol60-Dijkstra-MR35.PDF,Dijsktra,review,Go To Statement Considered Harmful,https://homepages.cwi.nl/~storm/teaching/reader/Dijkstra68.pdf,Dijkstra,read
4,class,2/16/2023,19404,runtime systems,Garbage Collection in an Uncooperative Environment,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/PL/GC-Uncooperative.pdf,Boehm and Weiser,review,Quantifying the Performance of Garbage Collection vs. Explicit Memory Management,,Hertz & Berger,nextyear,,,,
5,class,2/21/2023,19409,computer architecture,Architecture of the IBM System/360,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Arch/Architecture-of-the-IBM-System-360.pdf,Amdahl et al.,review,Structural aspects of the System/360 Model 85: The cache,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Arch/liptay68.pdf,Liptay,read,Bringing the Web Up to Speed with WebAssembly,"https://people.mpi-sws.org/~rossberg/papers/Haas,%20Rossberg,%20Schuff,%20Titzer,%20Gohman,%20Wagner,%20Zakai,%20Bastien,%20Holman%20-%20Bringing%20the%20Web%20up%20to%20Speed%20with%20WebAssembly.pdf",Rossberg et al.,review
6,noclass,2/23/2023,19411,(snow day),,,,,,,,,,,,
7,noclass,2/28/2022,19051,(snow day),,,,,,,,,,,,
8,class,3/2/2023,19418,multicore and parallelism,Cramming More Components onto Integrated Circuits,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Arch/moorespaper.pdf,Moore,review,Validity of the Single Processor Approach to Achieving Large Scale Computing Capabilities,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Conc/Amdahl-04785615.pdf,Amdahl,review,Amdahl’s Law in the Multicore Era,http://www.cs.wisc.edu/multifacet/papers/ieeecomputer08_amdahl_multicore.pdf,Hill,review
9,class,3/7/2023,19423,hardware/software interface,The Case for the Reduced Instruction Set Computer,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Arch/RISC-patterson.pdf,Patterson & Ditzel,review,Comments on the Case for RISC,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Arch/RISC-clark.pdf,Clark & Strecker,review,Available Instruction-Level Parallelism for Superscalar and Superpipelined Machines,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Arch/p272-jouppi.pdf,Jouppi,review
10,class,3/9/2023,19425,concurrency,Experience with Processes and Monitors in Mesa,http://www.cs.umass.edu/~emery/classes/cmpsci691st/readings/Conc/Mesa.pdf,Lampson & Redell ,review,,,,,,,,
11,noclass,3/14/2023,19430,Spring Break,,,,,,,,,,,,
12,noclass,3/16/2023,19432,Spring Break,,,,,,,,,,,,
13,class,3/21/2023,19437,OS design and internals,The Evolution of the UNIX Time-Sharing System,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/unix.pdf,Ritchie & Thompson,review,,,,,,,,
1,exam,3/23/2023,19439,exam 1,,,,,,,,,,,,
14,noclass,3/28/2023,19444,,,,,,,,,,,,,
15,noclass,3/30/2023,19446,,,,,,,,,,,,,
16,class,4/4/2023,19451,networked systems principles,Hints for Computer System Design,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/hints.pdf,Lampson,review,,,,,,,,
17,class,4/6/2023,19453,security,A Note on the Confinement Problem,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/lampson73.pdf,Lampson,review,Spectre Attacks: Exploiting Speculative Execution,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/spectre.pdf,Many People,review,,,,
18,class,4/11/2023,19458,distributed systems,Bitcoin: A Peer-to-Peer Electronic Cash System,https://bitcoin.org/bitcoin.pdf,Bitcoin,,,,,,,,,
19,class,4/13/2023,19460,fault-tolerance (hardware),A Case for Redundant Arrays of Inexpensive Disks (RAID),https://github.com/emeryberger/COMPSCI-630/raw/master/papers/RAID.pdf,"Patterson, Gibson & Katz",review,Why Do Computers Stop and What Can Be Done About It?,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/gray-85.pdf,Gray,review,,,,
20,noclass,4/18/2023,19465,,,,,,,,,,,,,
21,class,4/20/2023,19467,performance analysis,GProf: A Call-Graph Execution Profiler,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/gprof.pdf,Graham et al.,read,Coz: Finding Code that Counts with Causal Profiling,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/coz.pdf,Curtsinger & Berger,review,,,,
22,noclass,4/25/2023,19472,,,,,,,,,,,,,
23,noclass,4/27/2023,19474,,,,,,,,,,,,,
24,class,5/2/2023,19479,static analysis,A Few Billion Lines of Code Later: Using Static Analysis to Find Bugs in the Real World,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/coverity.pdf,Engler et al.,review,,,,,,,,
25,class,5/4/2023,19481,dynamic analysis,Valgrind: A Framework for Heavyweight Dynamic Binary Instrumentation,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/valgrind.pdf,Nethercote & Seward,review,,,,,,,,
26,class,5/9/2023,19486,testing,An empirical study of the reliability of UNIX utilities,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/fuzz.pdf,Miller et al.,read,DART: Directed Automated Random Testing,https://github.com/emeryberger/COMPSCI-630/raw/master/papers/dart.pdf,Goderfroid et al.,review,,,,
2,exam,5/11/2023,19488,Exam 2,,,,,,,,,,,,
1,project-due,4/7/2023,19454,Project 1: Ouroboros,,,,,,,,,,,,
2,project-due,5/17/2023,19496,Project 2: Cyprompt,,,,,,,,,,,,
